RANK,FILE,SCORE,TIME,MOVES
3,0,0,872.262322000001,49
5,6,-3,872.2341410000009,49
2,0,2,872.213993000001,49
0,5,12,872.1965960000009,49
4,1,0,872.1687610000009,49
1,5,15,872.1513880000009,49
4,7,0,872.1343200000009,49
2,1,3,872.116961000001,49
6,0,-10,872.099667000001,49
3,5,3,872.0803790000009,49
3,0,0,872.063155000001,49
7,7,-10,872.0456620000009,49
7,0,-10,872.016811000001,49
2,7,2,871.998898000001,49
3,2,1,871.981335000001,49
4,3,-3,871.9526330000009,49
7,4,-22,871.9326140000009,49
5,1,-3,871.915286000001,49
4,0,0,871.8976520000009,49
3,1,1,871.8801290000008,49
1,2,20,871.8628240000008,49
5,1,-3,871.8453380000009,49
2,6,-4,871.8264890000008,49
4,7,0,871.8060050000008,49
1,5,15,871.7882090000007,49
3,3,1,871.7711050000007,49
3,7,0,871.7539870000007,49
0,6,-2,871.7364910000007,49
4,1,0,871.7193820000007,49
6,0,-10,871.7023760000006,49
6,4,-22,871.6851740000008,49
3,3,1,871.6682540000007,49
7,2,-9,871.6401980000007,49
7,2,-9,871.6228840000007,49
7,0,-10,871.6052740000007,49
4,5,0,871.5881310000008,49
5,6,-3,871.5700970000007,49
4,5,0,871.5408560000006,49
4,1,0,871.5235130000007,49
5,4,-3,871.5060510000008,49
7,6,-11,871.4779760000007,49
5,7,-2,871.4602690000007,49
5,4,-3,871.4430130000007,49
6,4,-22,871.4145330000008,49
4,4,-3,871.3968560000008,49
6,3,-25,871.3792760000008,49
6,6,-11,871.3617380000009,49
7,3,-25,871.3445150000008,49
5,3,-3,871.3272570000008,49
6,6,-11,871.3097730000009,49
3,7,0,871.289999000001,49
6,1,-14,871.2601200000009,49
4,1,0,871.2423100000009,49
4,1,0,871.2250440000009,49
7,1,-14,871.1961400000009,49
7,3,-25,871.1785420000009,49
6,2,-9,871.1610320000009,49
6,5,-25,871.1423040000009,49
6,3,-25,871.1248080000009,49
3,0,0,871.1071310000009,49
5,1,-3,871.0895740000009,49
5,3,-3,871.0717800000008,49
6,1,-14,871.0424270000009,49
6,7,-10,871.022810000001,49
0,5,12,871.0043180000009,49
3,1,1,870.975535000001,49
6,4,-22,870.957927000001,49
4,5,0,870.940308000001,49
6,5,-25,870.922720000001,49
6,0,-10,870.905126000001,49
3,3,1,870.887577000001,49
6,1,-14,870.869934000001,49
2,6,-4,870.852197000001,49
3,6,3,870.8348890000009,49
4,5,0,870.806626000001,49
7,1,-14,870.7890370000008,49
4,2,-3,870.7714480000009,49
3,1,1,870.7532610000009,49
6,7,-10,870.7349420000008,49
3,0,0,870.7173950000009,49
5,1,-3,870.6997400000009,49
5,2,-3,870.6821810000009,49
3,7,0,870.652702000001,49
7,7,-10,870.6347860000009,49
3,7,0,870.6170210000009,49
3,0,0,870.5994770000009,49
2,6,-4,870.581741000001,49
5,4,-3,870.564084000001,49
2,6,-4,870.546179000001,49
6,0,-10,870.527903000001,49
7,7,-10,870.498140000001,49
3,3,1,870.4781140000009,49
7,4,-22,870.4602120000009,49
1,5,15,870.4302580000009,49
5,4,-3,870.4122120000009,49
6,3,-25,870.3942630000009,49
0,6,-2,870.376335000001,49
4,6,0,870.3584290000009,49
5,3,-3,870.3404790000009,49
5,1,-3,870.3224350000008,49
4,7,0,870.3044780000008,49
1,3,36,870.2752120000009,49
4,0,0,870.2567440000009,49
2,7,2,870.2384550000008,49
2,7,2,870.2070670000008,49
2,6,-4,870.1890980000007,49
1,2,20,870.1711570000008,49
5,0,-2,870.1425590000008,49
2,7,2,870.1240230000008,49
7,2,-9,870.1063460000008,49
4,7,0,870.0884460000008,49
7,0,-10,870.0698470000008,49
3,7,0,870.0521190000009,49
7,2,-9,870.0342200000008,49
4,5,0,870.0055280000008,49
6,5,-25,869.9869390000009,49
1,3,36,869.9689520000009,49
6,6,-11,869.9490740000009,49
7,5,-25,869.9301860000008,49
6,2,-9,869.9004180000009,49
4,3,-3,869.8823860000008,49
6,0,-10,869.8644100000008,49
7,4,-22,869.8353020000009,49
6,2,-9,869.8170010000008,49
5,1,-3,869.7983530000008,49
7,6,-11,869.7800650000008,49
4,5,0,869.7620190000009,49
5,4,-3,869.7330460000009,49
2,1,3,869.7149090000008,49
6,2,-9,869.6968670000009,49
1,2,20,869.6764430000009,49
5,3,-3,869.6580470000009,49
7,5,-25,869.6398950000008,49
0,5,12,869.6219920000009,49
7,1,-14,869.6038100000009,49
6,1,-14,869.585662000001,49
7,6,-11,869.567450000001,49
5,7,-2,869.549007000001,49
3,0,0,869.519823000001,49
6,2,-9,869.501712000001,49
5,5,-3,869.483346000001,49
7,3,-25,869.465151000001,49
6,7,-10,869.446560000001,49
0,6,-2,869.4146820000009,49
5,6,-3,869.396507000001,49
1,5,15,869.377989000001,49
7,1,-14,869.359699000001,49
7,0,-10,869.3412610000009,49
5,2,-3,869.3121740000009,49
7,5,-25,869.293678000001,49
5,5,-3,869.275226000001,49
6,2,-9,869.2569920000011,49
3,0,0,869.2387160000011,49
7,2,-9,869.2090460000011,49
2,4,-5,869.1905790000011,49
3,6,3,869.1715790000011,49
2,7,2,869.1526350000012,49
7,7,-10,869.1345500000011,49
3,2,1,869.116254000001,49
6,5,-25,869.097892000001,49
2,0,2,869.0791450000011,49
2,1,3,869.0497860000011,49
3,7,0,869.0314000000011,49
6,2,-9,869.011304000001,49
0,5,12,868.9927290000011,49
0,6,-2,868.974190000001,49
1,4,26,868.9435400000011,49
4,4,-3,868.925196000001,49
3,2,1,868.906361000001,49
4,3,-3,868.886858000001,49
5,1,-3,868.868304000001,49
4,4,-3,868.8389500000011,49
0,5,12,868.820514000001,49
1,5,15,868.801932000001,49
6,6,-11,868.783649000001,49
1,2,20,868.7648680000009,49
6,7,-10,868.7346420000009,49
5,3,-3,868.716252000001,49
4,4,-3,868.6981670000009,49
